,PPG,APG,RPG,FG%
Shaquille O'Neal,16.760070621468927,1.7699220498880717,7.933151183242724,0.5900916562733184
Kobe Bryant,29.552575295639322,5.467789172209904,5.910610679970436,0.4537438077420547
Derrick Rose,15.107379679144387,3.8568538324420674,2.6777629233511586,0.42432275401069514
Dwight Howard,19.376652294421103,1.59057585384449,12.83083458362572,0.5912839724749721
Carmelo Anthony,18.890972222222224,2.2558226495726497,6.382478632478632,0.418889423076923
Allen Iverson,28.533246225319395,5.0961999128919855,4.352351916376307,0.40829231271777006
Gilbert Arenas,11.851405946994182,5.012508080155139,3.045475113122172,0.3345525371687137
Paul Pierce,22.024375992118035,3.255969735465735,6.520263063709837,0.4347866318658798
Kevin Love,16.61712570621469,2.344416868442292,9.390523607748184,0.4132524263518967
DeMar DeRozan,23.49717871198103,5.409421749980453,4.728580934478354,0.4842909787197998
