DRAFT_YEAR,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,POSITION,full_name,merge_key
1990,Abdelnaby,Alaa,F,Alaa Abdelnaby,Alaa Abdelnaby_1990
1968,Abdul-Aziz,Zaid,C,Zaid Abdul-Aziz,Zaid Abdul-Aziz_1968
1969,Abdul-Jabbar,Kareem,C,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar_1969
1990,Abdul-Rauf,Mahmoud,G,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf_1990
1997,Abdul-Wahad,Tariq,F-G,Tariq Abdul-Wahad,Tariq Abdul-Wahad_1997
1996,Abdur-Rahim,Shareef,F,Shareef Abdur-Rahim,Shareef Abdur-Rahim_1996
1976,Abernethy,Tom,F,Tom Abernethy,Tom Abernethy_1976
1956,Able,Forest,G,Forest Able,Forest Able_1956
0,Abramovic,John,F,John Abramovic,John Abramovic_0
2013,Abrines,Alex,G,Alex Abrines,Alex Abrines_2013
2020,Achiuwa,Precious,F,Precious Achiuwa,Precious Achiuwa_2020
2005,Acker,Alex,G,Alex Acker,Alex Acker_2005
1953,Ackerman,Donald,G,Donald Ackerman,Donald Ackerman_1953
1985,Acres,Mark,C,Mark Acres,Mark Acres_1985
0,Acton,Charles,F,Charles Acton,Charles Acton_0
2012,Acy,Quincy,F,Quincy Acy,Quincy Acy_2012
1975,Adams,Alvan,C,Alvan Adams,Alvan Adams_1975
1970,Adams,Don,F,Don Adams,Don Adams_1970
2006,Adams,Hassan,F,Hassan Adams,Hassan Adams_2006
0,Adams,Jaylen,G,Jaylen Adams,Jaylen Adams_0
2014,Adams,Jordan,G,Jordan Adams,Jordan Adams_2014
1985,Adams,Michael,G,Michael Adams,Michael Adams_1985
2013,Adams,Steven,C,Steven Adams,Steven Adams_2013
1986,Addison,Rafael,F,Rafael Addison,Rafael Addison_1986
2017,Adebayo,Bam,C-F,Bam Adebayo,Bam Adebayo_2017
2018,Adel,Deng,F,Deng Adel,Deng Adel_2018
1968,Adelman,Rick,G,Rick Adelman,Rick Adelman_1968
0,Adrien,Jeff,F,Jeff Adrien,Jeff Adrien_0
2007,Afflalo,Arron,G,Arron Afflalo,Arron Afflalo_2007
2022,Agbaji,Ochai,G,Ochai Agbaji,Ochai Agbaji_2022
2006,Ager,Maurice,F-G,Maurice Ager,Maurice Ager_2006
1981,Aguirre,Mark,F,Mark Aguirre,Mark Aguirre_1981
0,Ahearn,Blake,G,Blake Ahearn,Blake Ahearn_0
1981,Ainge,Danny,G,Danny Ainge,Danny Ainge_1981
2008,Ajinca,Alexis,C,Alexis Ajinca,Alexis Ajinca_2008
1966,Akin,Henry,C,Henry Akin,Henry Akin_1966
0,Akognon,Josh,G,Josh Akognon,Josh Akognon_0
2016,Akoon-Purcell,DeVaughn,G,DeVaughn Akoon-Purcell,DeVaughn Akoon-Purcell_2016
2010,Alabi,Solomon,C,Solomon Alabi,Solomon Alabi_2010
1986,Alarie,Mark,F,Mark Alarie,Mark Alarie_1986
1959,Alcorn,Gary,C,Gary Alcorn,Gary Alcorn_1959
2021,Aldama,Santi,F-C,Santi Aldama,Santi Aldama_2021
2012,Aldemir,Furkan,F-C,Furkan Aldemir,Furkan Aldemir_2012
2010,Aldrich,Cole,C,Cole Aldrich,Cole Aldrich_2010
2006,Aldridge,LaMarcus,C-F,LaMarcus Aldridge,LaMarcus Aldridge_2006
1982,Aleksinas,Chuck,C,Chuck Aleksinas,Chuck Aleksinas_1982
0,Alexander,Cliff,F,Cliff Alexander,Cliff Alexander_0
1995,Alexander,Cory,G,Cory Alexander,Cory Alexander_1995
2000,Alexander,Courtney,G,Courtney Alexander,Courtney Alexander_2000
0,Alexander,Gary,F,Gary Alexander,Gary Alexander_0
2008,Alexander,Joe,F,Joe Alexander,Joe Alexander_2008
0,Alexander,Kyle,F-C,Kyle Alexander,Kyle Alexander_0
0,Alexander,Ty-Shon,G,Ty-Shon Alexander,Ty-Shon Alexander_0
1991,Alexander,Victor,F,Victor Alexander,Victor Alexander_1991
2019,Alexander-Walker,Nickeil,G,Nickeil Alexander-Walker,Nickeil Alexander-Walker_2019
1987,Alford,Steve,G,Steve Alford,Steve Alford_1987
0,Alkins,Rawle,G,Rawle Alkins,Rawle Alkins_0
1968,Allen,Bob,F,Bob Allen,Bob Allen_1968
2018,Allen,Grayson,G,Grayson Allen,Grayson Allen_2018
2017,Allen,Jarrett,C,Jarrett Allen,Jarrett Allen_2017
1995,Allen,Jerome,G,Jerome Allen,Jerome Allen_1995
2017,Allen,Kadeem,G,Kadeem Allen,Kadeem Allen_2017
2011,Allen,Lavoy,F-C,Lavoy Allen,Lavoy Allen_2011
1969,Allen,Lucius,G,Lucius Allen,Lucius Allen_1969
0,Allen,Malik,F,Malik Allen,Malik Allen_0
0,Allen,Randy,F,Randy Allen,Randy Allen_0
1996,Allen,Ray,G,Ray Allen,Ray Allen_1996
2004,Allen,Tony,G-F,Tony Allen,Tony Allen_2004
1971,Allison,Odis,F,Odis Allison,Odis Allison_1971
0,Allred,Lance,C,Lance Allred,Lance Allred_0
1980,Allums,Darrell,F,Darrell Allums,Darrell Allums_1980
2007,Almond,Morris,G,Morris Almond,Morris Almond_2007
1994,Alston,Derrick,F,Derrick Alston,Derrick Alston_1994
1998,Alston,Rafer,G,Rafer Alston,Rafer Alston_1998
0,Aluma,Peter,C,Peter Aluma,Peter Aluma_0
0,Alvarado,Jose,G,Jose Alvarado,Jose Alvarado_0
0,Amaechi,John,F-C,John Amaechi,John Amaechi_0
0,Amaya,Ashraf,F,Ashraf Amaya,Ashraf Amaya_0
2010,Aminu,Al-Farouq,F,Al-Farouq Aminu,Al-Farouq Aminu_2010
0,Amundson,Lou,F,Lou Amundson,Lou Amundson_0
1959,Anderegg,Bob,F,Bob Anderegg,Bob Anderegg_1959
0,Andersen,Chris,F-C,Chris Andersen,Chris Andersen_0
2002,Andersen,David,C,David Andersen,David Andersen_2002
0,Anderson,Alan,F-G,Alan Anderson,Alan Anderson_0
0,Anderson,Antonio,G,Antonio Anderson,Antonio Anderson_0
1967,Anderson,Cliff,G,Cliff Anderson,Cliff Anderson_1967
1974,Anderson,Daniel,G,Daniel Anderson,Daniel Anderson_1974
1997,Anderson,Derek,G,Derek Anderson,Derek Anderson_1997
1982,Anderson,Dwight,G,Dwight Anderson,Dwight Anderson_1982
0,Anderson,Eric,F,Eric Anderson,Eric Anderson_0
1987,Anderson,Greg,C-F,Greg Anderson,Greg Anderson_1987
2010,Anderson,James,G-F,James Anderson,James Anderson_2010
1975,Anderson,Jerome,G,Jerome Anderson,Jerome Anderson_1975
2015,Anderson,Justin,F-G,Justin Anderson,Justin Anderson_2015
1991,Anderson,Kenny,G,Kenny Anderson,Kenny Anderson_1991
1978,Anderson,Kim,F,Kim Anderson,Kim Anderson_1978
2014,Anderson,Kyle,F-G,Kyle Anderson,Kyle Anderson_2014
1988,Anderson,Michael,G,Michael Anderson,Michael Anderson_1988
1982,Anderson,Mitchell,F,Mitchell Anderson,Mitchell Anderson_1982
1989,Anderson,Nick,F-G,Nick Anderson,Nick Anderson_1989
1982,Anderson,Richard,F,Richard Anderson,Richard Anderson_1982
1984,Anderson,Ron,F,Ron Anderson,Ron Anderson_1984
2008,Anderson,Ryan,F,Ryan Anderson,Ryan Anderson_2008
1996,Anderson,Shandon,G-F,Shandon Anderson,Shandon Anderson_1996
1988,Anderson,Willie,G-F,Willie Anderson,Willie Anderson_1988
1969,Anderzunas,Wally,C,Wally Anderzunas,Wally Anderzunas_1969
2005,Andriuskevicius,Martynas,C,Martynas Andriuskevicius,Martynas Andriuskevicius_2005
1954,Anielak,Don,F,Don Anielak,Don Anielak_1954
2017,Anigbogu,Ike,C-F,Ike Anigbogu,Ike Anigbogu_2017
1989,Ansley,Michael,F,Michael Ansley,Michael Ansley_1989
1997,Anstey,Chris,C,Chris Anstey,Chris Anstey_1997
2013,Antetokounmpo,Giannis,F,Giannis Antetokounmpo,Giannis Antetokounmpo_2013
2018,Antetokounmpo,Kostas,F,Kostas Antetokounmpo,Kostas Antetokounmpo_2018
2014,Antetokounmpo,Thanasis,F,Thanasis Antetokounmpo,Thanasis Antetokounmpo_2014
2003,Anthony,Carmelo,F,Carmelo Anthony,Carmelo Anthony_2003
2020,Anthony,Cole,G,Cole Anthony,Cole Anthony_2020
1991,Anthony,Greg,G,Greg Anthony,Greg Anthony_1991
0,Anthony,Joel,C,Joel Anthony,Joel Anthony_0
0,Antic,Pero,F-C,Pero Antic,Pero Antic_0
2017,Anunoby,OG,F-G,OG Anunoby,OG Anunoby_2017
0,Appling,Keith,G,Keith Appling,Keith Appling_0
2004,Araujo,Rafael,C,Rafael Araujo,Rafael Araujo_2004
0,Arceneaux,Stacey,F,Stacey Arceneaux,Stacey Arceneaux_0
1970,Archibald,Nate,G,Nate Archibald,Nate Archibald_1970
2002,Archibald,Robert,F,Robert Archibald,Robert Archibald_2002
0,Arcidiacono,Ryan,G,Ryan Arcidiacono,Ryan Arcidiacono_0
1970,Ard,Jim,C,Jim Ard,Jim Ard_1970
2001,Arenas,Gilbert,G,Gilbert Arenas,Gilbert Arenas_2001
2004,Ariza,Trevor,F,Trevor Ariza,Trevor Ariza_2004
1950,Arizin,Paul,F,Paul Arizin,Paul Arizin_1950
1987,Arlauckas,Joe,F,Joe Arlauckas,Joe Arlauckas_1987
1989,Armstrong,B.J.,G,B.J. Armstrong,B.J. Armstrong_1989
1955,Armstrong,Bob,C,Bob Armstrong,Bob Armstrong_1955
2001,Armstrong,Brandon,G,Brandon Armstrong,Brandon Armstrong_2001
0,Armstrong,Darrell,G,Darrell Armstrong,Darrell Armstrong_0
2006,Armstrong,Hilton,F-C,Hilton Armstrong,Hilton Armstrong_2006
0,Armstrong,Paul,G,Paul Armstrong,Paul Armstrong_0
1977,Armstrong,Tate,G,Tate Armstrong,Tate Armstrong_1977
1955,Arnelle,Jesse,F,Jesse Arnelle,Jesse Arnelle_1955
1960,Arnette,Jay,G,Jay Arnette,Jay Arnette_1960
1969,Arnzen,Bob,F,Bob Arnzen,Bob Arnzen_1969
0,Arroyo,Carlos,G,Carlos Arroyo,Carlos Arroyo_0
2008,Arthur,Darrell,F,Darrell Arthur,Darrell Arthur_2008
1969,Arthurs,John,G,John Arthurs,John Arthurs_1969
0,Artis,Jamel,G,Jamel Artis,Jamel Artis_0
2008,Asik,Omer,C,Omer Asik,Omer Asik_2008
1987,Askew,Vincent,F,Vincent Askew,Vincent Askew_1987
0,Askins,Keith,F-G,Keith Askins,Keith Askins_0
0,Asmonga,Don,G,Don Asmonga,Don Asmonga_0
1953,Atha,Richard,G,Richard Atha,Richard Atha_1953
0,Atkins,Chucky,G,Chucky Atkins,Chucky Atkins_0
1960,Attles,Alvin,G,Alvin Attles,Alvin Attles_1960
0,Aubuchon,Chet,G,Chet Aubuchon,Chet Aubuchon_0
1991,Augmon,Stacey,F-G,Stacey Augmon,Stacey Augmon_1991
2008,Augustin,D.J.,G,D.J. Augustin,D.J. Augustin_2008
2006,Augustine,James,F,James Augustine,James Augustine_2006
1991,Austin,Ike,C,Ike Austin,Ike Austin_1991
1966,Austin,John,G,John Austin,John Austin_1966
1983,Austin,Ken,F,Ken Austin,Ken Austin_1983
2020,Avdija,Deni,F,Deni Avdija,Deni Avdija_2020
1991,Avent,Anthony,C,Anthony Avent,Anthony Avent_1991
1973,Averitt,William,G,William Averitt,William Averitt_1973
1999,Avery,William,G,William Avery,William Avery_1999
1970,Awtrey,Dennis,C,Dennis Awtrey,Dennis Awtrey_1970
0,Ayayi,Joel,G,Joel Ayayi,Joel Ayayi_0
0,Ayon,Gustavo,F-C,Gustavo Ayon,Gustavo Ayon_0
2009,Ayres,Jeff,F-C,Jeff Ayres,Jeff Ayres_2009
2018,Ayton,Deandre,C,Deandre Ayton,Deandre Ayton_2018
0,Azubuike,Kelenna,G,Kelenna Azubuike,Kelenna Azubuike_0
2020,Azubuike,Udoka,C-F,Udoka Azubuike,Udoka Azubuike_2020
0,Babb,Chris,G,Chris Babb,Chris Babb_0
2010,Babbitt,Luke,F,Luke Babbitt,Luke Babbitt_2010
1990,Babic,Milos,C,Milos Babic,Milos Babic_1990
1948,Bach,Johnny,F,Johnny Bach,Johnny Bach_1948
2017,Bacon,Dwayne,G-F,Dwayne Bacon,Dwayne Bacon_2017
0,Badji,Ibou,C,Ibou Badji,Ibou Badji_0
1952,Baechtold,Jim,F,Jim Baechtold,Jim Baechtold_1952
2000,Bagaric,Dalibor,C,Dalibor Bagaric,Dalibor Bagaric_2000
1982,Bagley,John,G,John Bagley,John Bagley_1982
2018,Bagley III,Marvin,F,Marvin Bagley III,Marvin Bagley III_2018
2023,Bailey,Amari,G,Amari Bailey,Amari Bailey_2023
1980,Bailey,Carl,C,Carl Bailey,Carl Bailey_1980
1974,Bailey,Gus,G,Gus Bailey,Gus Bailey_1974
1979,Bailey,James,F,James Bailey,James Bailey_1979
1983,Bailey,Thurl,F,Thurl Bailey,Thurl Bailey_1983
1998,Bailey,Toby,G,Toby Bailey,Toby Bailey_1998
2014,Bairstow,Cameron,F-C,Cameron Bairstow,Cameron Bairstow_2014
0,Baker,Mark,G,Mark Baker,Mark Baker_0
0,Baker,Maurice,G,Maurice Baker,Maurice Baker_0
0,Baker,Norm,G,Norm Baker,Norm Baker_0
0,Baker,Ron,G,Ron Baker,Ron Baker_0
1993,Baker,Vin,F,Vin Baker,Vin Baker_1993
2016,Baldwin IV,Wade,G,Wade Baldwin IV,Wade Baldwin IV_2016
2022,Baldwin Jr.,Patrick,F,Patrick Baldwin Jr.,Patrick Baldwin Jr._2022
2006,Balkman,Renaldo,F,Renaldo Balkman,Renaldo Balkman_2006
0,Ball,Cedric,F,Cedric Ball,Cedric Ball_0
2020,Ball,LaMelo,G,LaMelo Ball,LaMelo Ball_2020
