,PPG,APG,RPG,FG%
Shaquille O'Neal (2007-08),13.639344262295081,1.5245901639344261,9.081967213114755,0.609327868852459
Kobe Bryant (2003-04),23.953846153846154,5.076923076923077,5.523076923076923,0.42938461538461536
Derrick Rose (2016-17),18.03125,4.421875,3.84375,0.463984375
Dwight Howard (2012-13),17.05263157894737,1.4210526315789473,12.43421052631579,0.563407894736842
Carmelo Anthony (2016-17),22.41891891891892,2.8783783783783785,5.918918918918919,0.4342297297297298
Allen Iverson (2000-01),31.08450704225352,4.577464788732394,3.8450704225352115,0.4128450704225352
Gilbert Arenas (2009-10),22.5625,7.1875,4.15625,0.412125
Paul Pierce (2000-01),25.25609756097561,3.0853658536585367,6.365853658536586,0.4525243902439025
Kevin Love (2018-19),17.0,2.1818181818181817,10.863636363636363,0.38322727272727275
DeMar DeRozan (2018-19),21.233766233766232,6.1688311688311686,6.0,0.4834285714285715
